Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2013-7445,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2019-19449,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2019-19814,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2021-3847,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2021-3864,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2024-21803,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2024-58015,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2024-58093,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-22104,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38137,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38187,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38204,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38206,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38421,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38584,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38627,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-38636,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-39859,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-39862,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-39958,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-40064,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-40135,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-40158,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-40168,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2025-71202,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2026-0861,4
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2026-23066,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2026-23152,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2026-23171,1
.github/workflows/main.yml:security-scan,Trivy (0.69.1),CVE-2026-23210,1
